Team,Continent,Summer,Winter,Total,Participants
Luxembourg,Europe,0,2,2,96
Zimbabwe,Africa,7,0,7,147
Grenada,Americas,2,0,2,41
Senegal,Africa,0,0,0,177
Hong Kong,Asia,4,0,4,347
Saint Lucia,Americas,0,0,0,28
Federated States of Micronesia,Oceania,0,0,0,26
Myanmar,Asia,0,0,0,38
Afghanistan,Asia,2,0,2,20
Yugoslavia,Europe,0,0,0,60
Guinea,Africa,0,0,0,40
Taiwan,Asia,46,0,46,573
Sao Tome and Principe,Africa,0,0,0,15
Congo,Africa,0,0,0,47
Macedonia,Europe,1,0,1,84
Tonga,Oceania,1,0,1,32
Montenegro,Europe,14,0,14,94
Gambia,Africa,0,0,0,34
Tanzania,Africa,0,0,0,51
Cook Islands,Oceania,0,0,0,32
Albania,Europe,0,0,0,65
Swaziland,Africa,0,0,0,37
Burundi,Africa,2,0,2,39
Aruba,Americas,0,0,0,30
Liechtenstein,Europe,0,0,0,124
Nauru,Oceania,0,0,0,13
Zambia,Africa,1,0,1,55
Vietnam,Asia,4,0,4,104
Cambodia,Asia,0,0,0,29
Malawi,Africa,0,0,0,24
Bhutan,Asia,0,0,0,24
Marshall Islands,Oceania,0,0,0,14
Kiribati,Oceania,0,0,0,11
Tuvalu,Oceania,0,0,0,7
Kosovo,Europe,1,0,1,8
South Sudan,Africa,0,0,0,3
Burkina Faso,Africa,0,0,0,34
Lesotho,Africa,0,0,0,46
