Team,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,Avg Summer,Avg Winter
Bulgaria,308,38,181,34,150,54,119,44,87,41,75,47,58,139.7142857,43
Poland,361,59,207,79,240,54,224,91,316,106,256,149,289,270.4285714,89.66666667
Angola,33,0,30,0,30,0,30,0,33,0,35,0,26,31,0
Venezuela,27,0,53,1,65,4,53,1,126,0,85,1,105,73.42857143,1.166666667
Colombia,61,0,62,0,54,0,71,0,90,2,120,0,157,87.85714286,0.333333333
Bangladesh,9,0,4,0,6,0,4,0,5,0,7,0,7,6,0
Jordan,5,0,5,0,8,0,8,0,7,0,9,0,8,7.142857143,0
Somalia,0,0,4,0,2,0,2,0,2,0,2,0,2,2,0
Saudi Arabia,17,0,34,0,23,0,16,0,18,0,23,0,11,20.28571429,0
Puerto Rico,107,6,91,7,38,0,52,0,31,0,28,0,41,55.42857143,2.166666667
United Kingdom,602,51,391,45,415,70,360,54,417,78,684,78,478,478.1428571,62.66666667
Uganda,9,0,12,0,13,0,11,0,11,0,16,0,23,13.57142857,0
Tunisia,15,0,52,0,47,0,64,0,29,0,87,0,65,51.28571429,0
Honduras,30,0,7,0,20,0,5,0,26,0,25,0,23,19.42857143,0
El Salvador,6,0,10,0,10,0,9,0,14,0,11,0,10,10,0
Turkmenistan,0,0,7,0,8,0,10,0,10,0,10,0,9,7.714285714,0
Mauritius,22,0,36,0,26,0,9,0,11,0,11,0,11,18,0
Seychelles,21,0,9,0,9,0,10,0,10,0,6,0,10,10.71428571,0
Czechoslovakia,417,0,0,0,0,0,0,0,0,0,0,0,0,59.57142857,0
Czechia,0,117,169,119,162,163,171,170,158,172,159,179,135,136.2857143,153.3333333
Niger,3,0,3,0,4,0,4,0,4,0,6,0,6,4.285714286,0
Saint Kitts and Nevis,0,0,14,0,4,0,2,0,6,0,7,0,9,6,0
New Zealand,185,16,129,9,177,16,184,18,201,22,204,18,232,187.4285714,16.5
Liberia,0,0,7,0,10,0,2,0,4,0,3,0,3,4.142857143,0
Suriname,9,0,11,0,5,0,4,0,4,0,5,0,6,6.285714286,0
Nepal,2,0,6,0,5,2,6,1,8,1,5,1,7,5.571428571,0.833333333
Mongolia,49,2,18,3,23,4,21,2,31,2,32,2,46,31.42857143,2.5
Palau,0,0,0,0,5,0,4,0,5,0,5,0,6,3.571428571,0
Lithuania,67,13,81,18,77,21,70,14,78,13,72,20,80,75,16.5
Namibia,10,0,10,0,16,0,10,0,11,0,9,0,11,11,0
American Samoa,3,2,7,0,4,0,3,0,4,0,4,0,4,4.142857143,0.333333333
Togo,9,0,7,0,3,0,3,0,4,0,6,3,5,5.285714286,0.5
Samoa,5,0,5,0,5,0,3,0,7,0,9,0,9,6.142857143,0
Rwanda,10,0,4,0,5,0,5,0,4,0,7,0,7,6,0
Dominica,0,0,6,0,4,0,2,0,2,0,2,1,2,2.571428571,0.166666667
Benin,7,0,7,0,4,0,4,0,5,0,5,0,6,5.428571429,0
Haiti,8,0,7,0,5,0,8,0,7,0,5,0,10,7.142857143,0
Denmark,157,9,145,19,124,11,115,4,105,23,149,15,143,134,13.5
Malta,8,0,10,0,7,0,7,0,6,0,5,2,8,7.285714286,0.333333333
Austria,248,130,92,154,114,148,92,132,93,132,90,213,85,116.2857143,151.5
Dominican Rep.,32,0,16,0,13,0,33,0,27,0,36,0,30,26.71428571,0
Panama,7,0,9,0,7,0,5,0,5,0,8,0,14,7.857142857,0
Belize,18,0,5,0,2,0,2,0,4,0,3,0,3,5.285714286,0
Trinidad and Tobago,13,2,16,2,29,3,26,0,35,0,38,0,43,28.57142857,1.166666667
Paraguay,31,0,7,0,5,0,22,0,7,0,10,1,11,13.28571429,0.166666667
Uruguay,18,0,15,1,17,0,18,0,13,0,27,0,17,17.85714286,0.166666667
Maldives,10,0,9,0,4,0,4,0,4,0,5,0,4,5.714285714,0
