Team,Bronze,Silver,Gold,Total,Participants,Norm
Slovakia,13,19,15,47,1055,0.044549763
Barbados,1,0,0,1,118,0.008474576
Ecuador,0,1,1,2,174,0.011494253
Guinea Bissau,0,0,0,0,21,0
Sierra Leone,0,0,0,0,48,0
Timor Leste,0,0,0,0,9,0
Dem. Rep. Congo,0,0,0,0,55,0
Gabon,0,1,0,1,56,0.017857143
Bahamas,13,11,12,36,221,0.162895928
San Marino,0,0,0,0,64,0
Thailand,11,7,9,27,401,0.067331671
Laos,0,0,0,0,32,0
Botswana,0,1,0,1,63,0.015873016
Refugee Olympic Athletes,0,0,0,0,12,0
North Korea,20,10,14,44,501,0.087824351
Mozambique,1,0,1,2,36,0.055555556
Solomon Islands,0,0,0,0,19,0
Cape Verde,0,0,0,0,18,0
Equatorial Guinea,0,0,0,0,28,0
Bolivia,0,0,0,0,78,0
Andorra,0,0,0,0,123,0
Antigua and Barbuda,0,0,0,0,64,0
Luxembourg,0,2,0,2,96,0.020833333
Zimbabwe,1,4,2,7,147,0.047619048
Grenada,0,1,1,2,41,0.048780488
Senegal,0,0,0,0,177,0
Hong Kong,1,2,1,4,347,0.011527378
Saint Lucia,0,0,0,0,28,0
Federated States of Micronesia,0,0,0,0,26,0
Myanmar,0,0,0,0,38,0
Afghanistan,2,0,0,2,20,0.1
Yugoslavia,0,0,0,0,60,0
Guinea,0,0,0,0,40,0
Taiwan,16,27,3,46,573,0.080279232
Sao Tome and Principe,0,0,0,0,15,0
Congo,0,0,0,0,47,0
Macedonia,1,0,0,1,84,0.011904762
Tonga,0,1,0,1,32,0.03125
Montenegro,0,14,0,14,94,0.14893617
Gambia,0,0,0,0,34,0
Tanzania,0,0,0,0,51,0
Mistral Hojris,0,0,0,0,1,0
Cook Islands,0,0,0,0,32,0
Albania,0,0,0,0,65,0
Relampago,0,0,0,0,1,0
Swaziland,0,0,0,0,37,0
Burundi,0,1,1,2,39,0.051282051
Aruba,0,0,0,0,30,0
Liechtenstein,0,0,0,0,124,0
Whitini Star,0,0,0,0,1,0
Nauru,0,0,0,0,13,0
Lucky Star,0,0,0,0,1,0
Briar,0,0,0,0,1,0
Gran Gesto,0,0,0,0,1,0
Zambia,0,1,0,1,55,0.018181818
Vietnam,0,3,1,4,104,0.038461538
Elvis Va,0,0,1,1,1,1
Netherlands Antilles,0,0,0,0,28,0
Cambodia,0,0,0,0,29,0
Malawi,0,0,0,0,24,0
Calimucho,0,0,0,0,1,0
Bhutan,0,0,0,0,24,0
Marshall Islands,0,0,0,0,14,0
Kiribati,0,0,0,0,11,0
Oxalis,0,0,0,0,1,0
Tuvalu,0,0,0,0,7,0
Kosovo,0,0,1,1,8,0.125
South Sudan,0,0,0,0,3,0
Don Schufro,1,0,0,1,1,1
Burkina Faso,0,0,0,0,34,0
Lancet,0,0,0,0,1,0
Whisper,0,0,0,0,1,0
Clearwater,1,0,0,1,1,1
Lesotho,0,0,0,0,46,0
Bonaparte,0,0,1,1,1,1
Mythilus,0,0,0,0,1,0
Rambo,0,0,0,0,1,0
Floresco,0,0,0,0,1,0
Brentina,0,0,0,0,1,0
Nadine,0,1,0,1,1,1
Pop Art,0,0,0,0,1,0
Quando Quando,0,0,0,0,1,0
Diabolo St Maurice,0,0,0,0,1,0
Ravel,0,0,0,0,1,0
Notavel,0,0,0,0,1,0
Galopin De La Font,0,0,0,0,1,0
Orion,0,0,0,0,1,0
Greenoaks Dundee,0,0,0,0,1,0
Sunrise,0,1,0,1,1,1
Salinero,0,1,0,1,1,1
Satchmo,0,0,1,1,1,1
Solos Carex,0,0,0,0,1,0
Dow Jones,0,0,0,0,1,0
Digby,1,0,0,1,1,1
